Customer CodeToken / Fiat / NFT [Balance/NFT ID],
06706216,"AUD[836.8285458367573665],BAO[3.0000000000000000],BTC[0.0003842200000000],DENT[1.0000000000000000],ETH[0.0131391000000000],ETHW[0.1249762500000000],KIN[2.0000000000000000],SPY[0.3980471700000000],USD[7.2080110433645147]"
06706237,"TRX[0.0000000092360600],USD[0.0000000214747118],USDC[367.8330546200000000],USDT[6361.3656465700000000]"
06706249,"BAO[6.0000000000000000],ETHW[0.0050305400000000],KIN[3.0000000000000000],NFT (353700349615312422)[1],NFT (572399767190840901)[1],TRX[1.0000000000000000],USD[0.0000067454564100],USDT[0.0011033815000000]"
06706298,"TRX[0.0000120000000000],USD[2.7519355050000000],USDT[0.0000000090912860]"
06706303,USD[50.0100000000000000]
06706310,TRX[0.0000110000000000]
06706357,XRP[509.4732177800000000]
06706359,"BTC[0.0000000071084000],JPY[0.0000002797764593],USD[0.0000000034090880],XRP[18.1935723700000000]"
06706361,BCH[0.3879224000000000]
06706364,BTC[0.0000000063306540]
06706372,"BULL[13.0077440000000000],ETH[1.1431340500000000],ETHBULL[125.9753100000000000],ETHW[1.3192764200000000],FTT[0.0920000000000000],MATIC[0.4116480200000000],SOL[0.0043150500000000],TRX[0.8000070000000000],USD[600.24467601086418870000000000],USDT[0.0042910000000000]"
06706377,"USD[0.0098023753000000],USDT[1.4687146400000000]"
06706387,USD[0.0000000004445646]
06706448,USDT[39.8520150000000000]
06706455,"ETH[0.0000000800000000],USD[0.0000000504803277],USDT[0.0000008879236958]"
06706480,TRX[0.0007670000000000]
06706484,"BAO[6.0000000000000000],BNB[0.0744013667902725],BTC[0.0000000076710491],GBP[0.0000018849645548],KIN[3.0000000000000000],TRX[0.0000000084390100],UBXT[1.0000000000000000],USD[0.0000000151307601],USDT[0.0000024255644496]"
06706489,USD[24.1854900000000000]
06706490,"TRX[0.0000560000000000],USD[1.9605579871354482],USDT[0.0000000204461801]"
06706501,"AKRO[1.0000000000000000],CHZ[1.0000000000000000],DENT[1.0000000000000000],RSR[1.0000000000000000],TRX[0.0000120000000000],USD[0.0000000009984955],USDT[0.0000000010017551]"
06706510,"ETH[0.0470000000000000],ETHW[0.0470000000000000],TRX[0.0000160000000000],USD[-2.4623344932166038],USDT[0.0165994325000000]"
06706519,"SHIB[31493700.0000000000000000],SRM[482.0000000000000000],USD[1.5664294000000000]"
06706537,"BTC[0.0000000098525200],ETH[0.0000000068984800],TRX[7339.2711550000000000]"
06706546,"USD[0.0020003198705198],USDT[0.0000000032154114]"
06706555,"AVAX[0.0025411600000000],BNB[0.0007613300000000],BTC[0.0563139900000000],ETH[0.1162989900000000],MANA[16166.9692578300000000],MATIC[0.0512950800000000],SOL[0.0001848800000000],TRX[0.0002170000000000]"
06706576,"ETH[2.0496496300000000],ETHW[2.0487887800000000]"
06706591,XRP[57.3657580000000000]
06706615,USD[0.0034723487000000]
06706625,"UBXT[1.0000000000000000],USD[0.0000000010395176]"
06706662,"TRX[0.0000130000000000],USDT[0.0000000090208400]"
